,country,market_segment,previous_cancellations,booking_changes,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,is_canceled
0,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
1,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
2,Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,2,0
3,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
4,Portugal,Online TA,0,2,No Deposit,0,Transient,A,0,2,0
5,Non Portugal,Direct,0,1,No Deposit,0,Transient-Party,A,0,1,0
6,Portugal,Groups,0,0,Non Refund,0,Transient,A,0,0,1
8,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,1,1
9,Portugal,Groups,1,0,Non Refund,0,Contract,A,0,0,1
10,Non Portugal,Groups,0,1,No Deposit,0,Transient-Party,A,0,1,0
11,Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
12,Portugal,Groups,1,0,Non Refund,0,Transient,A,0,0,1
13,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,0,1
14,Portugal,Offline TA/TO,0,0,Non Refund,3,Transient,A,0,0,1
15,Non Portugal,Direct,0,0,No Deposit,0,Transient,D,1,0,0
16,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,1,0
17,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,1,0
18,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
19,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
20,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
21,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
23,Portugal,Offline TA/TO,0,0,Non Refund,39,Transient,A,0,0,1
24,Portugal,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
25,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient,A,0,1,0
26,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
27,Portugal,Offline TA/TO,0,0,Non Refund,0,Transient,A,0,0,1
28,Non Portugal,Online TA,0,2,No Deposit,0,Transient,A,0,2,0
30,Non Portugal,Groups,0,2,No Deposit,0,Transient-Party,A,0,0,0
31,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
32,Portugal,Offline TA/TO,1,0,No Deposit,0,Transient,A,0,0,1
33,Portugal,Direct,0,0,No Deposit,0,Transient,A,0,0,0
35,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
36,Portugal,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,1
37,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,0,2,0
38,Non Portugal,Online TA,0,0,No Deposit,0,Transient,F,0,1,1
39,Portugal,Corporate,0,1,No Deposit,0,Transient-Party,A,0,0,0
40,Non Portugal,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
41,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
42,Portugal,Complementary,0,0,No Deposit,0,Transient,B,0,1,0
43,Portugal,Online TA,0,0,No Deposit,0,Transient,A,1,2,0
46,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
48,Non Portugal,Direct,0,0,No Deposit,0,Transient,E,0,2,0
49,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
50,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,2,0
51,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,1,0
53,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,2,0
55,Portugal,Corporate,0,0,Non Refund,0,Transient-Party,E,0,0,1
